17:02:28,714 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com.ecorrservices] to false
17:02:28,714 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [DEBUG-FILE] to Logger[com.ecorrservices]
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org] to INFO
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org] to false
17:02:28,715 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [DEBUG-FILE] to Logger[org]
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com] to INFO
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com] to false
17:02:28,715 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [DEBUG-FILE] to Logger[com]
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [ecorrError] to ERROR
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [ecorrError] to false
17:02:28,715 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [ERROR-FILE] to Logger[ecorrError]
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [ecorrDebug] to DEBUG
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [ecorrDebug] to false
17:02:28,715 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [DEBUG-FILE] to Logger[ecorrDebug]
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.RootLoggerAction - Setting level of ROOT logger to DEBUG
17:02:28,715 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [DEBUG-FILE] to Logger[ROOT]
17:02:28,715 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - End of configuration.
17:02:28,716 |-INFO in ch.qos.logback.classic.joran.JoranConfigurator@13a5fe33 - Registering current configuration as safe fallback point
17:02:28,880 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - Setting ReconfigureOnChangeFilter scanning period to 30 seconds
17:02:28,880 |-INFO in ReconfigureOnChangeFilter{invocationCounter=0} - Will scan for changes in [[C:\D\svn-ecorr-adcomui-2020-01-13-1.2.6-release\ecorr-adcomui-2020-01-13-1.2.6-release\src\target\classes\logback-luke.xml]] every 30 seconds. 
17:02:28,880 |-INFO in ch.qos.logback.classic.joran.action.ConfigurationAction - Adding ReconfigureOnChangeFilter as a turbo filter
17:02:28,880 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - About to instantiate appender of type [ch.qos.logback.core.ConsoleAppender]
17:02:28,881 |-INFO in ch.qos.logback.core.joran.action.AppenderAction - Naming appender as [CONSOLE]
17:02:28,881 |-WARN in ch.qos.logback.core.ConsoleAppender[CONSOLE] - This appender no longer admits a layout as a sub-component, set an encoder instead.
17:02:28,881 |-WARN in ch.qos.logback.core.ConsoleAppender[CONSOLE] - To ensure compatibility, wrapping your layout in LayoutWrappingEncoder.
17:02:28,881 |-WARN in ch.qos.logback.core.ConsoleAppender[CONSOLE] - See also http://logback.qos.ch/codes.html#layoutInsteadOfEncoder for details
17:02:28,881 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.ecorrservices] to DEBUG
17:02:28,881 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating DEBUG level on Logger[com.ecorrservices] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com.ecorrservices] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[com.ecorrservices]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.ecorrservices.util.JsonUtil] to DEBUG
17:02:28,882 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating DEBUG level on Logger[com.ecorrservices.util.JsonUtil] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com.ecorrservices.util.JsonUtil] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[com.ecorrservices.util.JsonUtil]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org] to INFO
17:02:28,882 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating INFO level on Logger[org] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com] to INFO
17:02:28,882 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating INFO level on Logger[com] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[com]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.tomcat] to TRACE
17:02:28,882 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating TRACE level on Logger[org.apache.tomcat] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.tomcat] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.apache.tomcat]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.apache.tomcat.util] to INFO
17:02:28,882 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating INFO level on Logger[org.apache.tomcat.util] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.apache.tomcat.util] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.apache.tomcat.util]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.zaxxer] to INFO
17:02:28,882 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating INFO level on Logger[com.zaxxer] onto the JUL framework
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com.zaxxer] to false
17:02:28,882 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[com.zaxxer]
17:02:28,882 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [com.ulisesbocchio] to WARN
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating WARN level on Logger[com.ulisesbocchio] onto the JUL framework
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [com.ulisesbocchio] to false
17:02:28,883 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[com.ulisesbocchio]
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.springframework] to INFO
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating INFO level on Logger[org.springframework] onto the JUL framework
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.springframework] to false
17:02:28,883 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.springframework]
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.springframework.boot.web] to DEBUG
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating DEBUG level on Logger[org.springframework.boot.web] onto the JUL framework
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.springframework.boot.web] to false
17:02:28,883 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.springframework.boot.web]
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.springframework.jdbc.core] to TRACE
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating TRACE level on Logger[org.springframework.jdbc.core] onto the JUL framework
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.springframework.jdbc.core] to false
17:02:28,883 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.springframework.jdbc.core]
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.hibernate] to INFO
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating INFO level on Logger[org.hibernate] onto the JUL framework
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.hibernate] to false
17:02:28,883 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.hibernate]
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.hibernate.SQL] to DEBUG
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating DEBUG level on Logger[org.hibernate.SQL] onto the JUL framework
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.hibernate.SQL] to false
17:02:28,883 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.hibernate.SQL]
17:02:28,883 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.hibernate.type.descriptor.sql.BasicBinder] to WARN
17:02:28,883 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating WARN level on Logger[org.hibernate.type.descriptor.sql.BasicBinder] onto the JUL framework
17:02:28,884 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.hibernate.type.descriptor.sql.BasicBinder] to false
17:02:28,884 |-INFO in ch.qos.logback.core.joran.action.AppenderRefAction - Attaching appender named [CONSOLE] to Logger[org.hibernate.type.descriptor.sql.BasicBinder]
17:02:28,884 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting level of logger [org.hibernate.type] to TRACE
17:02:28,884 |-INFO in ch.qos.logback.classic.jul.LevelChangePropagator@65d6b83b - Propagating TRACE level on Logger[org.hibernate.type] onto the JUL framework
17:02:28,884 |-INFO in ch.qos.logback.classic.joran.action.LoggerAction - Setting additivity of logger [org.hibernate.type] to false
